id;code;full_name;ten_huy;ten_thuong;gender;life_status;generation;lineage_path;birth_solar;birth_lunar_json;death_solar;death_lunar_json;grave_info;grave_lat;grave_lng;biography;notes;privacy;linked_user_id;version
1;toward dependable ick;mobilize admonish hmph;fooey save embarrassment;pine unhealthy er;quaver;hoot foodstuffs er;13946;gosh;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27864.21;17490.83;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;thump during phew;hourly;29416
2;loftily notarize;yahoo;among;meanwhile irk;surprise for eek;ick censor;2450;excitedly beside physically;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29076.72;20078.03;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;drat compromise;even oh from;10895
3;misappropriate accomplished;opera haunting;ah;where;lazily once however;for after;24860;gosh suddenly boastfully;2026-07-16;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;17588.96;15641.06;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;yet incomparable;the sunbathe sans;7815
4;masculinize willfully;reborn uniform;out ferociously jubilant;politely begonia beneath;majestically mmm neglected;wholly ew;2116;wherever;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11981.95;4410.18;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sheathe;out;857
5;excepting whoever;which aha injunction;ouch for what;shocked goodwill;without;whether preclude;8217;coolly;2026-07-16;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;27293.91;25933.85;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;openly;pleased;16430
6;always gosh;but;zowie around;ick ouch;owlishly affectionate;where;21015;who overdub co-producer;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5411.69;30656.64;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;abseil;though willfully whose;22287
7;but round psst;while incandescence;alongside ownership runny;impure substantiate;simple scale via;like;2814;sternly modulo birdcage;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3254.28;27685.56;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;availability;upon correctly taxicab;6164
8;pleased at sandy;necessary meh;into;anenst merrily;banish although;eek;29460;ignorance till save;2026-07-15;../fake-data/blob/hipster.txt;2026-07-16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;19814.6;17095.83;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;deserted;ignorant;4866
9;ugh nor;bliss given cap;than delightfully;even unless inasmuch;account cool;blissfully however knottily;29749;quarrelsome ligate qua;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11011.89;30303.53;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sin hovel;preregister quinoa;8406
10;incidentally reword;sideboard phew;failing whenever;disapprove boldly imagineer;stable hierarchy know;painfully;18989;candid;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13804.08;23285.57;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;quintessential;however pro boohoo;27882
11;wrongly from;sew fleck;almost sans controvert;poorly since;yahoo;sadly;7118;hence uh-huh;2026-07-15;../fake-data/blob/hipster.txt;2026-07-15;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22804.55;29629.97;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;except er emboss;and;32523
