id;person_name;achievement;year;status
1;peaceful;whoa;6161;yellow
2;uh-huh broadside coarse;dislocate;11020;spring or gah
3;under which notwithstanding;deselect;27679;psst anguished tough
4;an;meh custom;28288;navigate
5;how;past likewise;4794;buttery
6;psst confute;ew over strong;6719;whose calculating profitable
7;hypothesize gee yuck;inasmuch gosh before;32289;yet
8;awesome alb;bitterly regular plait;20378;whoa
9;lined;monthly;24396;for
10;bind suckle beep;haul gee;32059;early
11;uh-huh aw;who polite;22139;giggle with
12;capitalise;firm ugly supposing;7456;rarely instead
13;meh;vivaciously incidentally;5603;aha yahoo circa
14;animated whopping ah;so;24817;cycle outside terrorise
15;vet oof;after bouncy;11816;quickly consequently
16;toward usually;father however;29880;since
17;coagulate ascribe;monasticism bravely;195;aha oddly
18;deadly diagram;um phooey married;19702;whenever polished
19;hm once moor;hm charter;22302;information rationalize
20;ah detective;sedately gadzooks sharply;5252;obligation
21;effector yahoo yippee;pish;10893;hefty beret who
22;limping wavy less;measly badly hm;2553;cappelletti sympathetically
23;provided;gracious;295;excluding truthfully whether
24;punctually incline validity;colorful once;21600;when
25;ethyl youthfully meh;up phew;20748;meh during engender
26;continually gee frankly;ah;4847;whoa colorfully inspect
27;weekly massive of;since however;21141;square
28;receptor delicious;common woefully;22936;furlough huzzah unselfish
29;ravage pike;midst bossy;22543;categorise row whereas
30;quit blah among;vainly quantify cleverly;1141;shipper
